source name;source type;mapping type;target name;target type;mapping description;source ID;target ID
Software Process and Device Authentication;mitigation;mitigates;Wireless Compromise;technique;Ensure wireless networks require the authentication of all devices, and that all wireless devices also authenticate network infrastructure devices (i.e., mutual authentication). For defense-in-depth purposes, utilize VPNs or ensure that application-layer protocols also authenticate the system or device. Use protocols that provide strong authentication (e.g., IEEE 802.1X), and enforce basic protections, such as MAC filtering, when stronger cryptographic techniques are not available.;;
Static Network Configuration;mitigation;mitigates;Alarm Suppression;technique;Unauthorized connections can be prevented by statically defining the hosts and ports used for automation protocol connections.;;
Static Network Configuration;mitigation;mitigates;Block Command Message;technique;Unauthorized connections can be prevented by statically defining the hosts and ports used for automation protocol connections.;;
Static Network Configuration;mitigation;mitigates;Block Reporting Message;technique;Unauthorized connections can be prevented by statically defining the hosts and ports used for automation protocol connections.;;
Static Network Configuration;mitigation;mitigates;Man in the Middle;technique;Statically defined ARP entries can prevent manipulation and sniffing of switched network traffic, as some MitM techniques depend on sending spoofed ARP messages to manipulate network host's dynamic ARP tables.;;
Static Network Configuration;mitigation;mitigates;Network Sniffing;technique;Statically defined ARP entries can prevent manipulation and sniffing of switched network traffic, as some MitM techniques depend on sending spoofed ARP messages to manipulate network host's dynamic ARP tables.;;
Static Network Configuration;mitigation;mitigates;Remote System Discovery;technique;Statically defined ARP entries can prevent manipulation and sniffing of switched network traffic, as some MitM techniques depend on sending spoofed ARP messages to manipulate network host's dynamic ARP tables.;;
Static Network Configuration;mitigation;mitigates;Remote System Information Discovery;technique;ICS environments typically have more statically defined devices, therefore minimize the use of both IT discovery protocols (e.g., DHCP, LLDP) and discovery functions in automation protocols. Examples of automation protocols with discovery capabilities include OPC UA Device Discovery, BACnet, and Ethernet/IP.;;
Supply Chain Management;mitigation;mitigates;Supply Chain Compromise;technique;A supply chain management program should include methods the assess the trustworthiness and technical maturity of a supplier, along with technical methods (e.g., code-signing, bill of materials) needed to validate the integrity of newly obtained devices and components. Develop procurement language that emphasizes the expectations for suppliers regarding the artifacts, audit records, and technical capabilities needed to validate the integrity of the device’s supply chain.;;
Threat Intelligence Program;mitigation;mitigates;Exploitation for Evasion;technique;Develop a robust cyber threat intelligence capability to determine what types and levels of threat may use software exploits and 0-days against a particular organization.;;
Threat Intelligence Program;mitigation;mitigates;Exploitation for Privilege Escalation;technique;Develop a robust cyber threat intelligence capability to determine what types and levels of threat may use software exploits and 0-days against a particular organization.;;
Threat Intelligence Program;mitigation;mitigates;Exploitation of Remote Services;technique;Develop a robust cyber threat intelligence capability to determine what types and levels of threat may use software exploits and 0-days against a particular organization.;;
Update Software;mitigation;mitigates;Drive-by Compromise;technique;Ensure all browsers and plugins are kept updated to help prevent the exploit phase of this technique. Use modern browsers with security features enabled.;;
Update Software;mitigation;mitigates;Engineering Workstation Compromise;technique;Update software on control network assets when possible. If feasible, use modern operating systems and software to reduce exposure to known vulnerabilities.;;
Update Software;mitigation;mitigates;Exploit Public-Facing Application;technique;Regularly scan externally facing systems for vulnerabilities and establish procedures to rapidly patch systems when critical vulnerabilities are discovered through scanning and public disclosure.;;
Update Software;mitigation;mitigates;Exploitation for Evasion;technique;Update software regularly by employing patch management for internal enterprise endpoints and servers.;;
Update Software;mitigation;mitigates;Exploitation for Privilege Escalation;technique;Update software regularly by employing patch management for internal enterprise endpoints and servers.;;
Update Software;mitigation;mitigates;Exploitation of Remote Services;technique;Update software regularly by employing patch management for internal enterprise endpoints and servers.;;
Update Software;mitigation;mitigates;Supply Chain Compromise;technique;A patch management process should be implemented to check unused dependencies, unmaintained and/or previously vulnerable dependencies, unnecessary features, components, files, and documentation.;;
Update Software;mitigation;mitigates;System Firmware;technique;Patch the BIOS and EFI as necessary.;;
User Account Management;mitigation;mitigates;Data from Information Repositories;technique;Ensure users and user groups have appropriate permissions for their roles through Identity and Access Management (IAM) controls to prevent misuse. Implement user accounts for each individual that may access the repositories for role enforcement and non-repudiation of actions.;;
User Account Management;mitigation;mitigates;External Remote Services;technique;Consider utilizing jump boxes for external remote access. Additionally, dynamic account management may be used to easily remove accounts when not in use.;;
User Account Management;mitigation;mitigates;Modify Alarm Settings;technique;Limit privileges of user accounts and groups so that only designated administrators or engineers can interact with alarm management and alarm configuration thresholds.;;
User Account Management;mitigation;mitigates;Remote Services;technique;"Limit the accounts that may use remote services. Limit the permissions for accounts that are at higher risk of compromise; for example, configure SSH so users can only run specific programs.";;
User Account Management;mitigation;mitigates;Service Stop;technique;Limit privileges of user accounts and groups so that only authorized administrators can change service states and configurations.;;
User Account Management;mitigation;mitigates;Valid Accounts;technique;Ensure users and user groups have appropriate permissions for their roles through Identity and Access Management (IAM) controls. Implement strict IAM controls to prevent access to systems except for the applications, users, and services that require access. Implement user accounts for each individual for enforcement and non-repudiation of actions.;;
User Training;mitigation;mitigates;Data from Information Repositories;technique;Develop and publish policies that define acceptable information to be stored in repositories.;;
User Training;mitigation;mitigates;Spearphishing Attachment;technique;Users can be trained to identify social engineering techniques and spearphishing emails.;;
User Training;mitigation;mitigates;User Execution;technique;Use user training as a way to bring awareness to common phishing and spearphishing techniques and how to raise suspicion for potentially malicious events.;;
Vulnerability Scanning;mitigation;mitigates;Exploit Public-Facing Application;technique;Regularly scan externally facing systems for vulnerabilities and establish procedures to rapidly patch systems when critical vulnerabilities are discovered through scanning and public disclosure.;;
Vulnerability Scanning;mitigation;mitigates;Exploitation of Remote Services;technique;Regularly scan the internal network for available services to identify new and potentially vulnerable services.;;
Vulnerability Scanning;mitigation;mitigates;Supply Chain Compromise;technique;Implement continuous monitoring of vulnerability sources. Also, use automatic and manual code review tools.;;
Watchdog Timers;mitigation;mitigates;Denial of Service;technique;System and process restarts should be performed when a timeout condition occurs.;;
Dragonfly;group;uses;Backdoor.Oldrea;software;;G0035;S0093
Lazarus Group;group;uses;WannaCry;software;;G0032;S0366
Sandworm Team;group;uses;BlackEnergy;software;;G0034;S0089
Sandworm Team;group;uses;Industroyer;software;;G0034;
Sandworm Team;group;uses;Killdisk;software;;G0034;
Sandworm Team;group;uses;NotPetya;software;;G0034;S0368
TEMP.Veles;group;uses;Triton;software;;G0088;
ALLANITE;group;uses;Drive-by Compromise;technique;[ALLANITE](https://collaborate.mitre.org/attackics/index.php/Group/G0009) leverages watering hole attacks to gain access into electric utilities.(Citation: SecurityWeek Allanite May 2018);;
ALLANITE;group;uses;Screen Capture;technique;[ALLANITE](https://collaborate.mitre.org/attackics/index.php/Group/G0009) has been identified to collect and distribute screenshots of ICS systems such as HMIs.(Citation: Dragos Allanite)(Citation: CISA Alert (TA17-293A));;
ALLANITE;group;uses;Spearphishing Attachment;technique;[ALLANITE](https://collaborate.mitre.org/attackics/index.php/Group/G0009) utilized spear phishing to gain access into energy sector environments.(Citation: E-ISAC Allanite May 2018);;
ALLANITE;group;uses;Valid Accounts;technique;[ALLANITE](https://collaborate.mitre.org/attackics/index.php/Group/G0009) utilized credentials collected through phishing and watering hole attacks.(Citation: Dragos Allanite);;
APT33;group;uses;Screen Capture;technique;[APT33](https://collaborate.mitre.org/attackics/index.php/Group/G0003) utilize backdoors capable of capturing screenshots once installed on a system.(Citation: FireEye APT33 Sept 2017)(Citation: Symantec Trojan.Stonedrill Mar 2017);G0064;
APT33;group;uses;Scripting;technique;[APT33](https://collaborate.mitre.org/attackics/index.php/Group/G0003) utilized PowerShell scripts to establish command and control and install files for execution.(Citation: Symantec Elfin Mar 2019)(Citation: Dragos Magnallium);G0064;
APT33;group;uses;Spearphishing Attachment;technique;[APT33](https://collaborate.mitre.org/attackics/index.php/Group/G0003) sent spear phishing emails containing links to HTML application files, which were embedded with malicious code.(Citation: FireEye APT33 Sept 2017) APT33 has conducted targeted spear phishing campaigns against U.S. government agencies and private sector companies.(Citation: Wired Jun 2019);G0064;
Dragonfly;group;uses;Commonly Used Port;technique;[Dragonfly](https://collaborate.mitre.org/attackics/index.php/Group/G0002) communicated with command and control over TCP ports 445 and 139 or UDP 137 or 138.(Citation: CISA Alert (TA17-293A);G0035;
Dragonfly;group;uses;Drive-by Compromise;technique;[Dragonfly](https://collaborate.mitre.org/attackics/index.php/Group/G0002) used intermediate targets for watering hole attacks on an intended target. A line of code is injected into the header.php file, this is used to redirect the visitors to an adversary controlled IP.(Citation: CISA Alert (TA17-293A);G0035;
Dragonfly;group;uses;Screen Capture;technique;[Dragonfly](https://collaborate.mitre.org/attackics/index.php/Group/G0002) has been reported to take screenshots of the GUI for ICS equipment, such as HMIs.(Citation: CISA Alert (TA17-293A);G0035;
Dragonfly;group;uses;Spearphishing Attachment;technique;[Dragonfly](https://collaborate.mitre.org/attackics/index.php/Group/G0002) sent pdf documents over email which contained links to malicious sites and downloads.(Citation: CISA Alert (TA17-293A);G0035;
Dragonfly;group;uses;Valid Accounts;technique;[Dragonfly](https://collaborate.mitre.org/attackics/index.php/Group/G0002) leveraged compromised user credentials to access the targets networks and download tools from a remote server.(Citation: CISA Alert (TA17-293A);G0035;
Dragonfly 2.0;group;uses;Commonly Used Port;technique;[Dragonfly 2.0](https://collaborate.mitre.org/attackics/index.php/Group/G0006) communicated with command and control over TCP ports 445 and 139 or UDP 137 or 138.(Citation: CISA TA18-074A March 2018);G0074;
Dragonfly 2.0;group;uses;Data from Information Repositories;technique;[Dragonfly 2.0](https://collaborate.mitre.org/attackics/index.php/Group/G0006) accessed workstations and servers within the corporate network that contained data from power generation control system environments. The files were related to the ICS and SCADA systems including vendor names and ICS reference documents such as wiring diagrams and panel layouts.(Citation: CISA TA18-074A March 2018);G0074;
Dragonfly 2.0;group;uses;Drive-by Compromise;technique;[Dragonfly 2.0](https://collaborate.mitre.org/attackics/index.php/Group/G0006) utilized watering hole attacks to gather credentials, by compromising websites that energy sector organizations might access.(Citation: Symantec Dragonfly Sept 2017);G0074;
Dragonfly 2.0;group;uses;Indicator Removal on Host;technique;[Dragonfly 2.0](https://collaborate.mitre.org/attackics/index.php/Group/G0006) deleted indicators on staging and target devices by uninstalling software, removing event logs, batch scripts, screenshots, registry keys, documents, and tools they brought into the target networks.(Citation: CISA TA18-074A March 2018);G0074;
Dragonfly 2.0;group;uses;Screen Capture;technique;[Dragonfly 2.0](https://collaborate.mitre.org/attackics/index.php/Group/G0006) has been reported to take screenshots of the GUI for ICS equipment, such as HMIs.(Citation: CISA TA18-074A March 2018);G0074;
Dragonfly 2.0;group;uses;Scripting;technique;[Dragonfly 2.0](https://collaborate.mitre.org/attackics/index.php/Group/G0006) deleted indicators on staging and target devices by uninstalling software, removing event logs, batch scripts, screenshots, registry keys, documents, and tools they brought into the target networks.(Citation: CISA TA18-074A March 2018);G0074;
Dragonfly 2.0;group;uses;Spearphishing Attachment;technique;[Dragonfly 2.0](https://collaborate.mitre.org/attackics/index.php/Group/G0006) used the Phishery tool kit to conduct spear phishing attacks and gather credentials.(Citation: Symantec Dragonfly Sept 2017)(Citation: Talos Jul 2017) Dragonfly 2.0 conducted a targeted spear phishing campaign against multiple electric utilities in the North America.(Citation: Dragos Sept 2018)(Citation: Dragos 2018);G0074;
Dragonfly 2.0;group;uses;Supply Chain Compromise;technique;[Dragonfly 2.0](https://collaborate.mitre.org/attackics/index.php/Group/G0006) trojanized legitimate software to deliver malware disguised as standard windows applications.(Citation: Symantec Dragonfly Sept 2017);G0074;
Dragonfly 2.0;group;uses;Theft of Operational Information;technique;[Dragonfly 2.0](https://collaborate.mitre.org/attackics/index.php/Group/G0006) captured ICS vendor names, reference documents, wiring diagrams, and panel layouts about the process environment.(Citation: CISA TA18-074A March 2018);G0074;
Dragonfly 2.0;group;uses;Valid Accounts;technique;[Dragonfly 2.0](https://collaborate.mitre.org/attackics/index.php/Group/G0006) Dragonfly 2.0 used credentials collected through spear phishing and watering hole attacks.(Citation: Symantec Dragonfly Sept 2017);G0074;
HEXANE;group;uses;Man in the Middle;technique;[HEXANE](https://collaborate.mitre.org/attackics/index.php/Group/G0005) targeted telecommunication providers in the greater Middle East, Central Asia, and Africa, potentially as a stepping stone to network-focused man-in-the-middle and related attacks.(Citation: Dragos Hexane);;
HEXANE;group;uses;Scripting;technique;[HEXANE](https://collaborate.mitre.org/attackics/index.php/Group/G0005) utilizes VBA macros and Powershell scripts such as DanDrop and kl.ps1 tools.(Citation: SecurityWeek Hexane Aug 2019)(Citation: BankInfoSecurity Lyceum Aug 2019);;
HEXANE;group;uses;Spearphishing Attachment;technique;[HEXANE](https://collaborate.mitre.org/attackics/index.php/Group/G0005) has used malicious documents to drop malware and gain access into an environment.(Citation: Dragos Hexane);;
HEXANE;group;uses;Standard Application Layer Protocol;technique;[HEXANE](https://collaborate.mitre.org/attackics/index.php/Group/G0005) communicated with command and control over HTTP and DNS.(Citation: Dragos Hexane);;
HEXANE;group;uses;Valid Accounts;technique;[HEXANE](https://collaborate.mitre.org/attackics/index.php/Group/G0005) has used valid IT accounts to extend their spearphishing campaign within an organization.(Citation: SecureWorks LYCEUM Aug 2019);;
Lazarus Group;group;uses;Spearphishing Attachment;technique;[Lazarus Group](https://collaborate.mitre.org/attackics/index.php/Group/G0008) has been observed targeting organizations using spearphishing documents with embedded malicious payloads.(Citation: Novetta Blockbuster) Highly targeted spear phishing campaigns have been conducted against a U.S. electric grid company.(Citation: Dragos Mar 2018);G0032;
OilRig;group;uses;Drive-by Compromise;technique;[OilRig](https://collaborate.mitre.org/attackics/index.php/Group/G0010) has been seen utilizing watering hole attacks to collect credentials which could be used to gain access into ICS networks.(Citation: CyberViser May 21);G0049;
OilRig;group;uses;Scripting;technique;[OilRig](https://collaborate.mitre.org/attackics/index.php/Group/G0010) has embedded a macro within spearphishing attachments that has been made up of both a VBScript and a PowerShell script.(Citation: PaloAlto OilRig May 2016);G0049;
OilRig;group;uses;Spearphishing Attachment;technique;[OilRig](https://collaborate.mitre.org/attackics/index.php/Group/G0010) used spearphishing emails with malicious Microsoft Excel spreadsheet attachments.(Citation: PaloAlto OilRig May 2016);G0049;
OilRig;group;uses;Standard Application Layer Protocol;technique;[OilRig](https://collaborate.mitre.org/attackics/index.php/Group/G0010) communicated with its command and control using HTTP requests.(Citation: PaloAlto OilRig May 2016);G0049;
OilRig;group;uses;Valid Accounts;technique;[OilRig](https://collaborate.mitre.org/attackics/index.php/Group/G0010) utilized stolen credentials to gain access to victim machines.;G0049;
Sandworm Team;group;uses;Block Command Message;technique;In the Ukraine 2015 Incident, [Sandworm Team](https://collaborate.mitre.org/attackics/index.php/Group/G0007) blocked command messages by using malicious firmware to render communication devices inoperable.(Citation: ICS SANS Ukraine March 2018);G0034;
Sandworm Team;group;uses;Block Reporting Message;technique;In the Ukraine 2015 Incident, [Sandworm Team](https://collaborate.mitre.org/attackics/index.php/Group/G0007) blocked reporting messages by using malicious firmware to render communication devices inoperable.(Citation: ICS SANS Ukraine March 2018);G0034;
Sandworm Team;group;uses;Device Restart/Shutdown;technique;In the 2015 attack on the Uktranian power grid, the [Sandworm Team](https://collaborate.mitre.org/attackics/index.php/Group/G0007) scheduled disconnects of uninterruptable power supply (UPS) systems so that when power was disconnected from the substations, the devices would shut down and service could not be recovered.(Citation: ICS SANS Ukraine March 2018);G0034;
Sandworm Team;group;uses;Exploit Public-Facing Application;technique;[Sandworm Team](https://collaborate.mitre.org/attackics/index.php/Group/G0007) actors exploited vulnerabilities in GE's Cimplicity HMI and Advantech/Broadwin WebAccess HMI software which had been directly exposed to the internet.(Citation: ICS-CERT ICS-Alert-14-281-01E December 2014)(Citation: ICS-CERT Advantech/Broadwin WebAccess RPC Vulnerability September 2018);G0034;
Sandworm Team;group;uses;External Remote Services;technique;In the Ukraine 2015 Incident, [Sandworm Team](https://collaborate.mitre.org/attackics/index.php/Group/G0007) harvested VPN worker credentials and used them to remotely log into control system networks.(Citation: ICS SANS Ukraine March 2018);G0034;
Sandworm Team;group;uses;Graphical User Interface;technique;In the Ukraine 2015 Incident, [Sandworm Team](https://collaborate.mitre.org/attackics/index.php/Group/G0007) utilized HMI GUIs in the SCADA environment to open breakers.(Citation: ICS SANS Ukraine March 2018);G0034;
Sandworm Team;group;uses;Remote Services;technique;In the Ukraine 2015 Incident, [Sandworm Team](https://collaborate.mitre.org/attackics/index.php/Group/G0007) used native remote access tools to directly interface with operator workstations and control ICS components.(Citation: ICS SANS Ukraine March 2018);G0034;
Sandworm Team;group;uses;Spearphishing Attachment;technique;In the Ukraine 2015 Incident, [Sandworm Team](https://collaborate.mitre.org/attackics/index.php/Group/G0007) sent spearphishing attachments to three energy distribution companies containing malware to gain access to victim systems.(Citation: DOJ Sandworm Team October 2020);G0034;
Sandworm Team;group;uses;System Firmware;technique;In the Ukraine 2015 Incident, [Sandworm Team](https://collaborate.mitre.org/attackics/index.php/Group/G0007) developed and used malicious firmware to render communication devices inoperable.(Citation: ICS SANS Ukraine March 2018);G0034;
Sandworm Team;group;uses;Unauthorized Command Message;technique;In the Ukraine 2015 Incident, [Sandworm Team](https://collaborate.mitre.org/attackics/index.php/Group/G0007) issued unauthorized commands to substation breakers after gaining control of operator workstations and accessing a distribution management system (DMS) client application.(Citation: ICS SANS Ukraine March 2018);G0034;
Sandworm Team;group;uses;Valid Accounts;technique;[Sandworm Team](https://collaborate.mitre.org/attackics/index.php/Group/G0007) used valid accounts to laterally move through VPN connections and dual-homed systems.(Citation: Dragos Electrum)(Citation: Dragos CRASHOVERRIDE) In the Ukraine 2015 Incident, Sandworm Team blocked command messages by using malicious firmware to render communication devices inoperable.(Citation: ICS SANS Ukraine March 2018);G0034;
TEMP.Veles;group;uses;Drive-by Compromise;technique;[XENOTIME](https://collaborate.mitre.org/attackics/index.php/Group/G0001) utilizes watering hole websites to target industrial employees.(Citation: CyberScoop Xenotime May 2018);G0088;
TEMP.Veles;group;uses;External Remote Services;technique;[XENOTIME](https://collaborate.mitre.org/attackics/index.php/Group/G0001) utilized remote desktop protocol (RDP) jump boxes to move into the ICS environment.(Citation: Dragos TRISIS Dec 2017);G0088;
TEMP.Veles;group;uses;Remote Services;technique;[XENOTIME](https://collaborate.mitre.org/attackics/index.php/Group/G0001) utilized remote desktop protocol (RDP) jump boxes to move into the ICS environment.(Citation: Dragos TRISIS December 2017;G0088;
TEMP.Veles;group;uses;Supply Chain Compromise;technique;[XENOTIME](https://collaborate.mitre.org/attackics/index.php/Group/G0001) targeted several ICS vendors and manufacturers.(Citation: Dragos Aug 2019);G0088;
TEMP.Veles;group;uses;Valid Accounts;technique;[XENOTIME](https://collaborate.mitre.org/attackics/index.php/Group/G0001) used valid credentials when laterally moving through RDP jump boxes into the ICS environment.(Citation: Dragos TRISIS Dec 2017);G0088;
ACAD/Medre.A;software;uses;Data from Information Repositories;technique;[ACAD/Medre.A](https://collaborate.mitre.org/attackics/index.php/Software/S0018) collects information related to the AutoCAD application. The worm collects AutoCAD (*.dwg) files with drawings from information repositories.;;
ACAD/Medre.A;software;uses;Theft of Operational Information;technique;[ACAD/Medre.A](https://collaborate.mitre.org/attackics/index.php/Software/S0018) can collect AutoCad files with drawings. These drawings may contain operational information.;;
Backdoor.Oldrea;software;uses;Automated Collection;technique;Using OPC, a component of [Backdoor.Oldrea](https://collaborate.mitre.org/attackics/index.php/Software/S0003) gathers any details about connected devices and sends them back to the C2 for the attackers to analyze.(Citation: F-Secure Labs Jun 2014);S0093;
Backdoor.Oldrea;software;uses;Denial of Service;technique;The [Backdoor.Oldrea](https://collaborate.mitre.org/attackics/index.php/Software/S0003) payload has caused multiple common OPC platforms to intermittently crash. This could cause a denial of service effect on applications reliant on OPC communications.(Citation: CISA Advisory (ICSA-14-178-01));S0093;
Backdoor.Oldrea;software;uses;Point & Tag Identification;technique;[Backdoor.Oldrea](https://collaborate.mitre.org/attackics/index.php/Software/S0003) enumerates all OPC tags and queries for specific fields such as server state, tag name, type, access, and id.(Citation: FireEye Havex Jul 2014);S0093;
Backdoor.Oldrea;software;uses;Point & Tag Identification;technique;The [Backdoor.Oldrea](https://collaborate.mitre.org/attackics/index.php/Software/S0003) payload has the capability of enumerating OPC tags, in addition to more generic OPC server information. The server data and tag names can provide information about the names and function of control devices.(Citation: ICS-CERT ICSA-14-178-01 August 2018)(Citation: F-Secure Havex June 2014);S0093;
Backdoor.Oldrea;software;uses;Remote System Discovery;technique;The [Backdoor.Oldrea](https://collaborate.mitre.org/attackics/index.php/Software/S0003) ICS malware plugin relies on Windows networking (WNet) to discover all the servers, including OPC servers, that are reachable by the compromised machine over the network.(Citation: SemanticScholar Dec 2015);S0093;
Backdoor.Oldrea;software;uses;Remote System Information Discovery;technique;[Backdoor.Oldrea](https://collaborate.mitre.org/attackics/index.php/Software/S0003) payload gathers server information that includes CLSID, server name, Program ID, OPC version, vendor information, running state, group count, and server bandwidth. This information helps indicate the role the server has in the control process.(Citation: ICS-CERT ICSA-14-178-01 August 2018)(Citation: F-Secure Havex June 2014);S0093;
Backdoor.Oldrea;software;uses;Spearphishing Attachment;technique;The [Backdoor.Oldrea](https://collaborate.mitre.org/attackics/index.php/Software/S0003) RAT is distributed through a trojanized installer attached to emails.(Citation: F-Secure Labs Jun 2014);S0093;
Backdoor.Oldrea;software;uses;Supply Chain Compromise;technique;The [Backdoor.Oldrea](https://collaborate.mitre.org/attackics/index.php/Software/S0003) RAT is distributed through trojanized installers planted on compromised vendor sites.(Citation: F-Secure Labs Jun 2014);S0093;
Backdoor.Oldrea;software;uses;User Execution;technique;Execution of [Backdoor.Oldrea](https://collaborate.mitre.org/attackics/index.php/Software/S0003) relies on a user opening a trojanized installer attached to an email.(Citation: F-Secure Labs Jun 2014)(Citation: ICS Malware: Havex and Black Energy);S0093;
Bad Rabbit;software;uses;Drive-by Compromise;technique;[Bad Rabbit](https://collaborate.mitre.org/attackics/index.php/Software/S0005) ransomware spreads through drive-by attacks where insecure websites are compromised. While the target is visiting a legitimate website, a malware dropper is being downloaded from the threat actor’s infrastructure.(Citation: Kaspersky Bad Rabbit Oct 2017);;
Bad Rabbit;software;uses;Exploitation of Remote Services;technique;[Bad Rabbit](https://collaborate.mitre.org/attackics/index.php/Software/S0005) initially infected IT networks, but by means of an exploit (particularly the SMBv1-targeting MS17-010 vulnerability) spread to industrial networks.(Citation: Dragos Apr 2019);;
Bad Rabbit;software;uses;External Remote Services;technique;[Bad Rabbit](https://collaborate.mitre.org/attackics/index.php/Software/S0005) can utilize exposed SMB services to access industrial networks.(Citation: Dragos Apr 2019);;
Bad Rabbit;software;uses;Lateral Tool Transfer;technique;[Bad Rabbit](https://collaborate.mitre.org/attackics/index.php/Software/S0005) can move laterally through industrial networks by means of the SMB service.(Citation: Dragos Apr 2019);;
Bad Rabbit;software;uses;Loss of Productivity and Revenue;technique;Several transportation organizations in Ukraine have suffered from being infected by [Bad Rabbit](https://collaborate.mitre.org/attackics/index.php/Software/S0005), resulting in some computers becoming encrypted, according to media reports. (Citation: ESET Bad Rabbit Oct 2017);;
Bad Rabbit;software;uses;User Execution;technique;[Bad Rabbit](https://collaborate.mitre.org/attackics/index.php/Software/S0005) is disguised as an Adobe Flash installer. When the file is opened it starts locking the infected computer.(Citation: Kaspersky Bad Rabbit Oct 2017);;
BlackEnergy;software;uses;Spearphishing Attachment;technique;[BlackEnergy 3](https://collaborate.mitre.org/attackics/index.php/Software/S0004) targeted energy sector organizations in a wide reaching email spearphishing campaign. Adversaries utilized malicious Microsoft Word documents attachments.(Citation: Booz Allen Hamilton);S0089;
BlackEnergy;software;uses;Standard Application Layer Protocol;technique;[BlackEnergy 3](https://collaborate.mitre.org/attackics/index.php/Software/S0004) uses HTTP POST request to contact external command and control servers.(Citation: Booz Allen Hamilton);S0089;
BlackEnergy;software;uses;Valid Accounts;technique;[BlackEnergy 3](https://collaborate.mitre.org/attackics/index.php/Software/S0004) utilizes valid user and administrator credentials, in addition to creating new administrator accounts to maintain presence.(Citation: Booz Allen Hamilton);S0089;
Conficker;software;uses;Loss of Availability;technique;A [Conficker](https://collaborate.mitre.org/attackics/index.php/Software/S0012) infection at a nuclear power plant forced the facility to temporarily shutdown.(Citation: Softpedia News Apr 2016);;
Conficker;software;uses;Loss of Productivity and Revenue;technique;A [Conficker](https://collaborate.mitre.org/attackics/index.php/Software/S0012) infection at a nuclear power plant forced the facility to shutdown and go through security procedures involved with such events, with its staff scanning computer systems and going through all the regular checks and motions before putting the plant back into production.(Citation: Softpedia News Apr 2016);;
Conficker;software;uses;Replication Through Removable Media;technique;[Conficker](https://collaborate.mitre.org/attackics/index.php/Software/S0012) exploits Windows drive shares. Once it has infected a computer, Conficker automatically copies itself to all visible open drive shares on other computers inside the network.(Citation: Symantec Conficker Jun 20) Nuclear power plant officials suspect someone brought in Conficker by accident on a USB thumb drive, either from home or computers found in the power plant's facility.(Citation: Softpedia News Apr 2016);;
Duqu;software;uses;Data from Information Repositories;technique;[Duqu](https://collaborate.mitre.org/attackics/index.php/Software/S0014)'s purpose is to 'gather intelligence data and assets from entities such as industrial infrastructure and system manufacturers, amongst others not in the industrial sector, in order to more easily conduct a future attack against another third party.'(Citation: Symantec W.32 Duqu);S0038;
Duqu;software;uses;Theft of Operational Information;technique;[Duqu](https://collaborate.mitre.org/attackics/index.php/Software/S0014)downloads additional modules for the collection of data in information repositories. The modules are named: infostealer 1, infostealer 2 and reconnaissance.(Citation: Symantec W.32 Duqu);S0038;
EKANS;software;uses;Loss of Productivity and Revenue;technique;[EKANS](https://collaborate.mitre.org/attackics/index.php/Software/S0014) infection resulted in a temporary production loss within a Honda manufacturing plant.(Citation: Forbes Snake Ransomware June 2020);;
EKANS;software;uses;Masquerading;technique;[EKANS](https://collaborate.mitre.org/attackics/index.php/Software/S0014) masquerades itself as a valid executable with the filename 'update.exe'. Many valid programs use the process name 'update.exe' to perform background software updates.(Citation: Dragos EKANS February 2020);;
EKANS;software;uses;Network Connection Enumeration;technique;[EKANS](https://collaborate.mitre.org/attackics/index.php/Software/S0014) performs a DNS lookup of an internal domain name associated with its target network to identify if it was deployed on the intended system.(Citation: Fortinet EKANS July 2020);;
EKANS;software;uses;Service Stop;technique;Before encrypting the process, [EKANS](https://collaborate.mitre.org/attackics/index.php/Software/S0014) first kills the process if its name matches one of the processes defined on the kill-list.(Citation: FireEye Ransomware Against the Machine July 2020)(Citation: FireEye OT Ransomware July 2020) EKANS also utilizes netsh commands to implement firewall rules that blocks any remote communication with the device.(Citation: Fortinet EKANS July 2020);;
Flame;software;uses;Data from Information Repositories;technique;[Flame](https://collaborate.mitre.org/attackics/index.php/Software/S0015) has built-in modules to gather information from compromised computers.(Citation: Symantec W32.Flamer);S0143;
Flame;software;uses;Theft of Operational Information;technique;[Flame](https://collaborate.mitre.org/attackics/index.php/Software/S0015) can collect AutoCAD design data and visio diagrams as well as other documents that may contain operational information.(Citation: Symantec W32.Flamer);S0143;
Industroyer;software;uses;Activate Firmware Update Mode;technique;The [Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001) SPIROTEC DoS module places the victim device into 'firmware update' mode. This is a legitimate use case under normal circumstances, but in this case is used the adversary to prevent the SPIROTEC from performing its designed protective functions. As a result the normal safeguards are disabled, leaving an unprotected link in the electric transmission.(Citation: Dragos CRASHOVERRIDE Aug 2019);;
Industroyer;software;uses;Automated Collection;technique;[Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001), automatically collects protocol object data to learn about control devices in the environment.(Citation: ESET Win32/Industroyer Jun 2017);;
Industroyer;software;uses;Block Command Message;technique;In [Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001), the first COM port from the configuration file is used for the actual communication and the two other COM ports are just opened to prevent other processes accessing them. Thus, the IEC 101 payload component is able to take over and maintain control of the RTU device.(Citation: ESET Win32/Industroyer Jun 2017);;
