KSAID,Description,Withdrawn?,CISSP,ISSAP,ISSEP,ISSMP,SSCP,CAP,CSSLP,HCISPP,CCSP
K0318,Knowledge of operating system command-line tools.,,"3,5", , , , , ,3.7.8,6,"5.2.3, 5.2.6"
K0319,Knowledge of technical delivery capabilities and their limitations.,,"3,4", , , , , , , , 
K0320,Knowledge of organization's evaluation and validation criteria.,,1.2.1,"2.5.3, 4.2.1, 5.2.4, 6.5","3,5","1, 2.1", , ,2,6,"1.5.2, 4.4"
K0321,Knowledge of engineering concepts as applied to computer architecture and associated computer hardware/software.,,"3,5","1, 2, 3, 5, 6",5,"2,2","1.2, 2.3, 6.4, 7.3, 7.4", ,"3,7", ,4
K0322,Knowledge of embedded systems.,,"3,8", , ,"2,2", , ,3.2.6,6,1.2.6
K0323,Knowledge of system fault tolerance methodologies.,,"3,5","2,3","1,3",3.1.7, , ,1.2.11,6, 
K0324,Knowledge of Intrusion Detection System (IDS)/Intrusion Prevention System (IPS) tools and applications.,,7.8.2,2.2.1, ,"2.1.2, 2.3, 3.1.6,  3.1.7, 3.2","4.1.2, 6.5, 7.2", , ,6,"5.3.7, 5.7.2"
K0325,"Knowledge of Information Theory (e.g., source coding, channel coding, algorithm complexity theory, and data compression).",,8.5.3,6, ,"1, 2", , ,"3,11", , 
K0326,Knowledge of demilitarized zones.,,"7,8","3,4","1,1","2, 2.1.2, 3.1.7", , , ,6, 
K0327,"WITHDRAWN: Knowledge of local area network (LAN), wide area network (WAN) and enterprise principles and concepts, including bandwidth management. (See K0050)",X, ,X,X,X,X, , , ,X
K0328,"WITHDRAWN: Knowledge of mathematics, including logarithms, trigonometry, linear algebra, calculus, statistics, and operational analysis.",X, ,X,X,X,X, , , ,X
K0329,WITHDRAWN: Knowledge of statistics.,X, ,X,X,X,X, , , ,X
K0330,Knowledge of successful capabilities to identify the solutions to less common and more complex system problems.,,"3,5",2.7.1, , , , ,"3,11",6, 
K0331,"WITHDRAWN: Knowledge of network protocols (e.g., Transmission Control Protocol (TCP), Internet Protocol (IP), Dynamic Host Configuration Protocol (DHCP)), and directory services (e.g., Domain Name System (DNS)). (See K0332)",X, ,X,X,X,X, , , ,X
K0332,"Knowledge of network protocols such as TCP/IP, Dynamic Host Configuration, Domain Name System (DNS), and directory services.",,4.1.2,"2,7", ,"2,2","5.3, 6.1.5, 6.3.2, 6.4.3", ,3.2.2,6,"1.3.4, 3.1.2"
K0333,"Knowledge of network design processes, to include understanding of security objectives, operational objectives, and trade-offs.",,"4,1","2, 3","3.3, 3.3.4","2,1","3.1.4, 6", , ,2.3.3,"1.3.4, 3.1.2"
K0334,"Knowledge of network traffic analysis (tools, methodologies, processes).",,4.1.1,"2,2", ,"2.3, 3.1.6, 3.2","4.1.2, 6.4, 6.5", , ,2.3.3,"1.3.4, 2.8.2, 3.1.2"
K0335,Knowledge of current and emerging cyber technologies.,,1.4.1,"2, 3, 6", ,"2,2","1, 2, 5, 6, 7", , ,6, 
K0336,Knowledge of access authentication methods.,,"5,1","1.1, 1.2","1,1",2.1.2,"1,1", ,"1.1.4, 1.1.5","5.2.1, 5.3.4","1.3.2, 2.6.1, 3.4"
K0337,WITHDRAWN: Integrated into K0007,X, ,X,X,X, , , ,5.2.1,X
K0338,Knowledge of data mining techniques.,,3.5.3, , , , , , ,6, 
K0339,Knowledge of how to use network analysis tools to identify vulnerabilities.,,1.9.1,"2.2, 4.2","3,5","2.3, 3.1.6, 3.2","4.1.2, 6.4, 6.5", , ,6.1.7,"1.3.4, 2.8.2, 3.1.2, 5.3.7"
K0340,"WITHDRAWN: Knowledge of how traffic flows across the network (e.g., Transmission Control Protocol (TCP), Internet Protocol (IP), Open System Interconnection Model (OSI)).",X, ,X,X,X,X, , , ,X
K0341,Knowledge of foreign disclosure policies and import/export control regulations as related to cybersecurity. ,,1.4.3,4, ,"6,1", , ,2.1.4,"2.3, 5.3.3","1.5.1, 6"
K0342,"Knowledge of penetration testing principles, tools, and techniques.",,6.2.2, ,3.5.1,"2.3, 3.1.6, 3.2", , ,"5,1",6,5.3.7
K0343,Knowledge of root cause analysis techniques.,,7.1.3,4,2,3,"3,1", ,7.8.1,6,"2.8.2, 3.3"
K0344,Knowledge of an organization’s threat environment.,,"1.9, 1.10","4, 4.2","2,1","3, 4", , ,"3,1","3.1.1, 6.1.6","1.3.6, 3.3.2"
K0345,"WITHDRAWN: Knowledge of cyber attackers (e.g., script kiddies, insider threat, non-nation state sponsored, and nation sponsored).",X, ,X,X,X,X, , , ,X
K0346,Knowledge of principles and methods for integrating system components.,,"3,5","1, 2, 3, 5, 6","3,4","2.1, 2.2", , ,"4,7",5.4.2, 
K0347,Knowledge and understanding of operational design.,,"3,5","1, 2, 3, 5, 6","3,3","1.3.5, 2.1, 2.2", , ,"3,11",6, 
K0348,"WITHDRAWN: Knowledge of a wide range of basic communications media concepts and terminology (e.g., computer and telephone networks, satellite, cable, wireless).",X, ,X,X,X,X, , , ,X
K0349,"Knowledge of website types, administration, functions, and content management system (CMS).",,"3,6",2.2.2, , , , ,3.2.2,6, 
K0350,Knowledge of accepted organization planning systems.,,1.2.2, ,3,"1, 2.2", , ,"2,1", , 
K0351,"Knowledge of applicable statutes, laws, regulations and policies governing cyber targeting and exploitation.",,"1,4", , ,"4.2, 6, 6.2", , , ,"2.1, 2.2, 2.3, 4.2.2",1.5.1
K0352,"Knowledge of forms of intelligence support needs, topics, and focus areas.",,"1,2", , ,4.1.1, , , , , 
K0353,Knowledge of possible circumstances that would result in changing collection management authorities.,,"7,8", , ,"4,1", , , , , 
K0354,Knowledge of relevant reporting and dissemination procedures.,,"7,7", , ,"1.6.3, 1.7, 3.2.6, 4.2.7, 6.3.4", , , ,"2.3.3, 6", 
K0355,Knowledge of all-source reporting and dissemination procedures.,,"7,8", , ,"1.6.3, 1.7, 3.2.6, 4.2.7, 6.3.5", , , ,"2.3.3, 6", 
K0356,"Knowledge of analytic tools and techniques for language, voice and/or graphic material.",,7.7.1, , , , , ,"7,8",6, 
K0357,WITHDRAWN: Knowledge of analytical constructs and their use in assessing the operational environment. (See K0224),X, ,X,X,X, , , , ,X
K0358,Knowledge of analytical standards and the purpose of intelligence confidence levels.,,"7,8", , , , , , ,2.3.2,1.5.1
K0359,Knowledge of approved intelligence dissemination processes.,,"7.7.4, 7.8", , , , , , ,2.3.3, 
K0360,WITHDRAWN: Knowledge of assembly code.,X, ,X,X,X, , , , ,X
K0361,"Knowledge of asset availability, capabilities and limitations.",,"1,9","2.1, 3.1",3.1.4,"3,14","2.2.3, 2.4", , ,6, 
K0362,"Knowledge of attack methods and techniques (DDoS, brute force, spoofing, etc.).",,6.2.2, , ,"2.3, 3.2, 4.1.5","5.1.7, 6.2, 7.1.3, 7.4.5", , ,6, 
K0363,Knowledge of auditing and logging procedures (including server-based logging).,,6.2.3,1.2.7,4.1.2,"6,4","2.5.4, 3.2.1, 3.2.4, 3.3.2, 7.3.6", ,3.2.2,"2.3.3, 5.2.4, 6.2,  6.3.7","1.2.5, 2.8, 3.4.5, 6.3"
K0364,Knowledge of available databases and tools necessary to assess appropriate collection tasking.,,3.5.3,6.1.4, , , , , ,3.1.1, 
K0365,"WITHDRAWN: Knowledge of basic back-up and recovery procedures including different types of backups (e.g., full, incremental).",X, ,X,X,X,X, , , ,X
K0366,"WITHDRAWN: Knowledge of basic computer components and architectures, including the functions of various peripherals.",X, ,X,X,X,X, , , ,X
K0367,Knowledge of penetration testing. ,,6.2.2, ,3.5.1, , , ,5,6,5.3.7
K0368,Knowledge of implants that enable cyber collection and/or preparation activities.,,"7,3", , , , , , ,6, 
K0369,"WITHDRAWN: Knowledge of basic malicious activity concepts (e.g., footprinting, scanning and enumeration).",X, ,X,X,X,X, , , ,X
K0370,"WITHDRAWN: Knowledge of basic physical computer components and architecture, including the functions of various components and peripherals (e.g., CPUs, Network Interface Cards, data storage). (See K0109)",X, ,X,X,X,X, , , ,X
K0371,"Knowledge of principles of the collection development processes (e.g., Dialed Number Recognition, Social Network Analysis).",,7.1.3, , , ,"3.2, 7.1.3, ", , ,6, 
K0372,"Knowledge of programming concepts (e.g., levels, structures, compiled vs. interpreted languages).",,8.1.1,6, , , , ,4, , 
K0373,"Knowledge of basic software applications (e.g., data storage and backup, database applications) and the types of vulnerabilities that have been found in those applications.",,3.5.3,6, ,"2, 5","2.5, 3.2, 7", ,3.2.2,"5.2.10, 6.1.7, 7.2.2","2.2, 2.8.2, 3.1.5"
K0374,"WITHDRAWN: Knowledge of basic structure, architecture, and design of modern digital and telephony networks. (See K0599)",X, ,X,X,X, , , , ,X
K0375,Knowledge of wireless applications vulnerabilities.,,4.1.6,"4.2, 6.5", , ,"6,6", ,3.2.5,6.1.7, 
K0376,"Knowledge of internal and external customers and partner organizations, including information needs, objectives, structure, capabilities, etc.",,1.11.2,4.2.1,"3,1",1, , ,8,"1.2, 7","2,4"
K0377,"Knowledge of classification and control markings standards, policies and procedures.",,2.1.1, ,"1,1","1,4", , ,"2,2","2,3","1.5.1, 2.5"
K0378,WITHDRAWN: Knowledge of classification and control markings standards. (See K0377),X, ,X,X,X, , , , ,X
K0379,"Knowledge of client organizations, including information needs, objectives, structure, capabilities, etc.",,"1.2.1, 1.2.2",4.2.1,"3,1", , , ,"1,1",7,"2,4"
K0380,Knowledge of collaborative tools and environments.,,"3.5.1, 3.5.2, 3.5.7","4.4, 6.3", ,"1.5.2, 2.2", , , ,6, 
K0381,Knowledge of collateral damage and estimating impact(s).,,1.7.2, , ,5, , ,6.9.4,6.1.5, 
K0382,Knowledge of collection capabilities and limitations.,,"6,3", , , , , , ,6, 
K0383,"Knowledge of collection capabilities, accesses, performance specifications, and constraints utilized to satisfy collection plan.",,"6,3", , , , , , ,"5.2.1, 5.3.4","1.3.2, 2.6.1"
K0384,"Knowledge of collection management functionality (e.g., positions, functions, responsibilities, products, reporting requirements).",,"6,3", , , , , , ,6.6.5, 
K0385,WITHDRAWN: Integrated into K0142,X, ,X,X,X, , , , ,X
K0386,Knowledge of collection management tools.,,"7,8", , , , , , ,6, 
K0387,Knowledge of collection planning process and collection plan.,,"7,7", , , , , , ,2.3.3, 
K0388,"Knowledge of collection searching/analyzing techniques and tools for chat/buddy list, emerging technologies, VOIP, Media Over IP, VPN, VSAT/wireless, web mail and cookies.",,7.1.3, , , ,"3.2, 7.1.2", ,"7,8",6,3.1.4
K0389,Knowledge of collection sources including conventional and non-conventional sources.,,7.1.3, , , , , ,"7,8",6, 
K0390,Knowledge of collection strategies.,,"7,8", , , , , , ,6, 
K0391,"Knowledge of collection systems, capabilities, and processes. ",,"7,8", , , , , , ,2.3.3, 
K0392,"Knowledge of common computer/network infections (virus, Trojan, etc.) and methods of infection (ports, attachments, etc.).",,"7,8",4, ,"2.3, 3.2, 4.1.5","6.2, 7.1", ,"3,2",6,"1.3.4, 3.3"
K0393,Knowledge of common networking devices and their configurations.,,"4,2","2,7", , ,5, , ,6,"1.1.4, 1.3.4, 3.1.2, 5.2.2, 5.3.7"
K0394,Knowledge of common reporting databases and tools. ,,3.5.3, , , , , , ,6, 
K0395,"Knowledge of computer networking fundamentals (i.e., basic computer components of a network, types of networks, etc.).",,"4,1","2, 3","1, 2, 3, 4, 5","2,2",5, , ,6,"1, 2, 3, 4, 5"
K0396,"Knowledge of computer programming concepts, including computer languages, programming, testing, debugging, and file types. ",,8.1.1,6, , ,7, ,"3, 4",6, 
K0397,"Knowledge of security concepts in operating systems (e.g., Linux, Unix.)",,"3,5","1, 2, 5, 6", , ,"2.6.3, 7.1.4", ,3.7.8,6,"5.2.3, 5.2.6"
K0398,"Knowledge of concepts related to websites (e.g., web servers/pages, hosting, DNS, registration, web languages such as HTML).",,"3,6","2, 3, 6", , ,"3.2, 7.1.3", ,3.2.2,6, 
K0399,Knowledge of crisis action planning and time sensitive planning procedures.,,6.3.6, , ,"4.2, 5.1","3, 4", , ,2.3.3, 
K0400,Knowledge of crisis action planning for cyber operations.,,"7,7", , ,"4.2, 5.1","3, 4", , ,6, 
K0401,Knowledge of criteria for evaluating collection products.,,"1,2", , , , , , ,6,1.5.2
K0402,"Knowledge of criticality and vulnerability factors (e.g., value, recuperation, cushion, countermeasures) for target selection and applicability to the cyber domain.",,"1.9, 1.9.1", , ,"1, 2.3, 3.1.6, 3.2","4.1.6, 6.2, 7.1.2, 7.1.4 7.4.5", , ,"5.2.5, 6.1.7", 
K0403,"Knowledge of cryptologic capabilities, limitations, and contributions to cyber operations.",,"3,9", , , ,"5.2, 5.3", ,4.1.14,6,1.3.1
K0404,Knowledge of current collection requirements.,,"2,3", , , , , , ,6, 
K0405,Knowledge of current computer-based intrusion sets.,,"7,8", , , ,"6.5, 7.2", , ,6, 
K0406,Knowledge of current software and methodologies for active defense and system hardening.,,"7,8","1, 2, 3, 5, 6", ,1,"2.5, 2.6.3, 7.1, 7.1.4", , ,6,4
K0407,Knowledge of customer information needs.,,"2,3",4.2.1,3,1, , ,2,6, 
K0408,"Knowledge of cyber actions (i.e. cyber defense, information gathering, environment preparation, cyber-attack) principles, capabilities, limitations, and effects.",,6.2.2, , ,1,"3, 6, 7", , ,6.5.1, 
K0409,Knowledge of cyber intelligence/information collection capabilities and repositories.,,6.2.2, , , , , , ,6, 
K0410,Knowledge of cyber laws and their effect on Cyber planning.,,"1,4", , ,"4.2, 6, 6.2", , , ,4.2.2,1.5.1
K0411,Knowledge of cyber laws and legal considerations and their effect on cyber planning.,,"1,4", , ,6,"3.3.4, 4.2.1, 7.3.4","1.3, 1.3.1, 1.3.2, 1.3.3", ,"4.1, 4.2, 4.3",1.5.1
K0412,Knowledge of cyber lexicon/terminology,,"1,1", , ,1, , , ,6, 
K0413,"Knowledge of cyber operation objectives, policies, and legalities. ",,"1,6", , ,"1, 4.2, 6, 6.2","3.3.4, 4.2.1, 7.3.4","1.3, 1.3.1, 1.3.2, 1.3.3","1,1","2.3, 4.1, 4.2, 4.3","6,1"
K0414,Knowledge of cyber operations support or enabling processes.,,1.2.2, , ,1, , , ,2.3.3, 
K0415,Knowledge of cyber operations terminology/lexicon.,,"1,1", , ,1, , , ,6, 
K0416,Knowledge of cyber operations.,,"7,5", , ,1, , , ,6, 
K0417,"Knowledge of data communications terminology (e.g., networking protocols, Ethernet, IP, encryption, optical devices, removable media).",,"4,2","2, 3", ,1,6, , ,5.2.2,"1.3.1, 2.3.1, 3.1.2"
K0418,Knowledge of data flow process for terminal or environment collection.,,"2,5", , , , , , ,1.3.1, 
K0419,Knowledge of database administration and maintenance.,,3.5.3,"6,6", , ,3.2.1, ,3.7.6,6, 
K0420,Knowledge of database theory.,,3.5.3,"6,6", , ,3.2.1, ,3.7.6,6, 
K0421,"Knowledge of databases, portals and associated dissemination vehicles.",,3.5.3,"6,6", , ,"3.2.1, 7.3", ,3.7.6,6, 
K0422,Knowledge of deconfliction processes and procedures.,,"1,4", , , , , , ,2.3.3, 
K0423,Knowledge of deconfliction reporting to include external organization interaction.,,"1,4", , , , , , ,"6, 7", 
K0424,Knowledge of denial and deception techniques.,,"7,8", , , , , ,"5,2",6, 
K0425,"Knowledge of different organization objectives at all levels, including subordinate, lateral and higher.",,1.2.3, , , , , , ,"6, 7", 
K0426,Knowledge of dynamic and deliberate targeting.,,6.2.2, , , , , , , , 
K0427,"Knowledge of encryption algorithms and cyber capabilities/tools (e.g., SSL, PGP).",,3.5.4,"3.6, 6.1, 6.4", ,"2,2","5.1, 5.3, 5.4.1", ,4.1.14,5.2.2,"1.3.1, 2.3.1"
K0428,Knowledge of encryption algorithms and tools for wireless local area networks (WLANs).,,4.1.6,"3,6", , ,"6.4, 6.6", ,3.2.5,5.2.2,"1.3.1, 2.3.1"
K0429,Knowledge of enterprise-wide information management.,,"3,1", ,5.3.7, ,2.4.4, , ,6,"1, 2.6, 3.1.6"
K0430,Knowledge of evasion strategies and techniques.,,6.2.2, , ,4, , ,"5,1", ,"2,3"
K0431,Knowledge of evolving/emerging communications technologies.,,"4,2","2, 3, 6",3,"2,2", , , ,6, 
K0432,"Knowledge of existing, emerging, and long-range issues related to cyber operations strategy, policy, and organization.",,"1,1", , ,"1, 2", , , ,"2,3","6,1"
K0433,Knowledge of forensic implications of operating system structure and operations.,,"7,1", , , ,4.2.2, ,"7,8",6,"2.4, 5.5"
K0434,"WITHDRAWN: Knowledge of front-end collection systems, including traffic collection, filtering, and selection.",X, ,X,X,X,X, , , ,X
K0435,"Knowledge of fundamental cyber concepts, principles, limitations, and effects.",,"3,3", , ,"1, 2","1, 2, 6, 7", ,"1,1",6, 
K0436,"Knowledge of fundamental cyber operations concepts, terminology/lexicon (i.e., environment preparation, cyber-attack, cyber defense), principles, capabilities, limitations, and effects.",,"3,3", , ,"2,2","1, 2, 6, 7", ,"1,1",6, 
K0437,Knowledge of general Supervisory control and data acquisition (SCADA) system components.,,3.5.5,5.1.3, , , , , ,6, 
K0438,"Knowledge of mobile cellular communications architecture (e.g., LTE, CDMA, GSM/EDGE and UMTS/HSPA).",,"4.2.2, 4.3.4","2, 3, 5", ,"2,2","6.6, 7.1.1, 7.2.6", ,3.2.7,6, 
K0439,Knowledge of governing authorities for targeting.,,"1,4", , ,6, , , ,"2.1, 2.2, 2.3",1.5.1
K0440,Knowledge of host-based security products and how those products affect exploitation and reduce vulnerability.,,"3.5.1, 4.2.4","2, 3, 6", , ,"7,2", ,3.7.8,"5.2.5, 6.1.7", 
K0441,"WITHDRAWN: Knowledge of how collection requirements and information needs are translated, tracked, and prioritized across the extended enterprise.",X, ,X,X,X,X, , , ,X
K0442,"Knowledge of how converged technologies impact cyber operations (e.g., digital, telephony, wireless).",,"4.1, 4.2", , ,"2,2", , ,3.2.5,6.1.5, 
K0443,"WITHDRAWN: Knowledge of how hubs, switches, routers work together in the design of a network. (See K0143)",X, ,X,X,X,X, , , ,X
K0444,"Knowledge of how Internet applications work (SMTP email, web-based email, chat clients, VOIP).",,4.3.4,"3,3", , , , ,3.2.2,6,"3,1"
K0445,Knowledge of how modern digital and telephony networks impact cyber operations.,,4.3.1, , ,"2,2", , , ,6.1.5,3.1.2
K0446,Knowledge of how modern wireless communications systems impact cyber operations.,,4.1.6, , ,"2,2", , ,3.2.5,6.1.5,"3,1"
K0447,"Knowledge of how to collect, view, and identify essential information on targets of interest from metadata (e.g., email, http).",,7.1.3, , , , , ,"7,8",6, 
K0448,Knowledge of how to establish priorities for resources.,,7.1.3, , , , , ,6.9.4,6, 
K0449,"Knowledge of how to extract, analyze, and use metadata.",,7.1.3, , , , , ,"7,8",6, 
K0450,WITHDRAWN: Integrated into K0036,X, ,X,X,X,X, , , ,X
K0451,Knowledge of identification and reporting processes.,,"7,7", , ,"1.6.3, 1.7, 3.2.6, 4.2.7, 6.3.4", , , ,"2.3.3, 6", 
K0452,"Knowledge of implementing Unix and Windows systems that provide radius authentication and logging, DNS, mail, web service, FTP server, DHCP, firewall, and SNMP.",,"5,1","1, 3.4", , ,"3.3.2, 6.3, 6.5, 7.2", ,3.2.5,5.2.4,"2.8.2, 4"
K0453,Knowledge of indications and warning.,,"2.5, 7.1.2","2.2, 2.6, 3.5", , ,"3.3.2, 4.1.2, 6.5", , ,6, 
K0454,Knowledge of information needs.,,"2,2",4.2.1, , , , , ,6, 
K0455,"Knowledge of information security concepts, facilitating technologies and methods.",,"3,3","1, 2, 3, 4, 5, 6","1, 3, 4, 5", ,"1, 2, 5, 6, 7", ,"1,1",6, 
K0456,Knowledge of intelligence capabilities and limitations.,,"7,1", , , , , , , , 
K0457,Knowledge of intelligence confidence levels.,,"7,1", , , , , , , , 
K0458,Knowledge of intelligence disciplines.,,7.2.5, , , , , , , , 
K0459,"Knowledge of intelligence employment requirements (i.e., logistical, communications support, maneuverability, legal restrictions, etc.).",,"1,4", , , , , , ,"4.1, 4.2, 4.3", 
K0460,Knowledge of intelligence preparation of the environment and similar processes.,,6.2.2, , , , , , ,2.3.3, 
K0461,Knowledge of intelligence production processes.,,6.2.2, , , , , , ,2.3.3, 
K0462,"Knowledge of intelligence reporting principles, policies, procedures, and vehicles, including report formats, reportability criteria (requirements and priorities), dissemination practices, and legal authorities and restrictions.",,6.2.2, , , , ,"1.3, 1.3.1, 1.3.2, 1.3.3", ,"2.3, 4.1, 4.2, 4.3, 6.6.5","1,5"
K0463,Knowledge of intelligence requirements tasking systems.,,6.2.2, , , , , , , , 
K0464,"Knowledge of intelligence support to planning, execution, and assessment.",,6.2.2, , , , , , , , 
K0465,Knowledge of internal and external partner cyber operations capabilities and tools.,,6.2.2, , , , , , ,"1.2, 6, 7", 
K0466,Knowledge of internal and external partner intelligence processes and the development of information requirements and essential information.,,6.2.2, , , , , , ,"1.2, 2.3.3, 6, 7", 
K0467,"Knowledge of internal and external partner organization capabilities and limitations (those with tasking, collection, processing, exploitation and dissemination responsibilities).",,6.2.2, , , , , , ,"1.2, 2.3.3, 6, 7", 
K0468,Knowledge of internal and external partner reporting.,,6.2.2, , ,"1.6.3, 1.7, 3.2.6, 4.2.7, 6.3.4", , , ,"1.2, 6.6.5, 7", 
K0469,Knowledge of internal tactics to anticipate and/or emulate threat capabilities and actions.,,"6.2.1, 6.2.2", , , , , ,"3,1","3.1.1, 6.1.6",1.3.6
K0470,Knowledge of Internet and routing protocols.,,4.1.2,"2,7", , ,"6,1", , ,6,"1.1.4, 1.3.4, 3.1.2, 5.2.2, 5.3.7"
K0471,"Knowledge of Internet network addressing (IP addresses, classless inter-domain routing, TCP/UDP port numbering).",,4.1.2,"2, 3", , , , , ,6,"1.1.4, 1.3.4, 3.1.2, 5.2.2, 5.3.7"
K0472,Knowledge of intrusion detection systems and signature development.,,7.8.2,2.2.1, ,"2.3, 3.1.6, 3.2, 4.1.4","6.5, 7.2", , ,6,"1.3.4, 5.3.7, 5.7.2"
K0473,Knowledge of intrusion sets.,,7.8.2,2.2.1, ,"2.3, 3.1.6, 3.2, 4.1.4","6.5, 7.2", , ,6,"5.3.7, 5.7.2"
K0474,Knowledge of key cyber threat actors and their equities.,,"1,10","2,2", ,"2.3, 3.1.6, 3.2, 4.1.4", , ,"3,1","3.1.1, 6.1.6","1.3.6, 3.3.2"
K0475,Knowledge of key factors of the operational environment and threat.,,1.10.1,"4,2","2.3.2, 3.1.6, 3.2.1, 4.1","2.3, 3.1.6, 3.2, 4.1.4", , , ,6.1.6,"1.3.6, 3.3.2"
K0476,Knowledge of language processing tools and techniques.,,"1,10", , , , , , ,6, 
K0477,Knowledge of leadership's Intent and objectives.,,1.2.1,"1, 2, 3, 4, 5, 6",3,1, , ,"1,1",6, 
K0478,Knowledge of legal considerations in targeting.,,"1,4", , ,6, , , ,"4.1, 4.2, 4.3", 
K0479,Knowledge of malware analysis and characteristics.,,7.1.3,"5,2", ,"2.3, 3.2","7,1", ,"7,8",6,2.8.2
K0480,Knowledge of malware.,,"7,8","5,2", ,"2.3, 3.2",7, ,"7,8",6, 
K0481,Knowledge of methods and techniques used to detect various exploitation activities.,,"7,8",2.2.1, ,"2.3, 3.2", , ,"5,1",6, 
K0482,Knowledge of methods for ascertaining collection asset posture and availability.,,6.2.2, , , , , , ,6, 
K0483,Knowledge of methods to integrate and summarize information from any potential sources.,,6.2.2, , , , , , ,5.4.2, 
K0484,"Knowledge of midpoint collection (process, objectives, organization, targets, etc.).",,6.2.2, , , , , , ,2.3.3, 
K0485,Knowledge of network administration.,,"4,2","2, 3", ,"1.3.5, 2.2", , , ,6,"1.1.4, 1.3.4, 3.1.2, 5.2.2, 5.3.7"
K0486,Knowledge of network construction and topology.,,"4,1","2, 3","3,3",1.3.5,"6,1", , ,6,"1.1.4, 1.3.4, 3.1.2, 5.2.2, 5.3.7"
K0487,"Knowledge of network security (e.g., encryption, firewalls, authentication, honey pots, perimeter protection).",,"4,2","2.7, 3", ,"1.3.5, 2.2","1, 2, 3, 5, 6, 7.2", , ,5.2.2,"1.3.1, 1.3.4, 2.3.1, 3.1.2, 4.6.1, 5.3.7"
K0488,"Knowledge of network security implementations (e.g., host-based IDS, IPS, access control lists), including their function and placement in a network.",,"7,8","2, 3","1, 3.3",1.3.5,"6, 7.2", , ,"5.2.1, 5.3.4","1.1.4, 1.3.2, 1.3.4, 2.6.1, 3.1.2, 5.2.2, 5.3.7"
K0489,Knowledge of network topology.,,"4,2","2, 3","3,3","2,2",6.1.2, , ,6,"1.1.4, 1.3.4, 3.1.2, 5.2.2, 5.3.7"
K0490,WITHDRAWN: Integrated into K0058,X, ,X,X,X,X, , , ,X
K0491,"Knowledge of networking and Internet communications fundamentals (i.e. devices, device configuration, hardware, software, applications, ports/protocols, addressing, network architecture and infrastructure, routing, operating systems, etc.). ",,"4,2","2, 3","3, 4","2,2","6, 6.1", , ,6,"1, 2"
K0492,Knowledge of non-traditional collection methodologies.,,6.2.2, , , , , , ,6, 
K0493,"Knowledge of obfuscation techniques (e.g., TOR/Onio nonymizers, VPN/VPS, encryption).",,4.3.5,"2.7.3, 3.4.1", , ,"5, 6.3", ,"5,1","5.2.2, 5.5.1","1.3.1, 1.3.4, 2.3.1, 2.3.6, 2.3.7"
K0494,"Knowledge of objectives, situation, operational environment, and the status and disposition of internal and external partner collection capabilities available to support planning.",,"7,6", , , , , , ,"1.2, 3.1.1, 6, 7", 
K0495,Knowledge of ongoing and future operations.,,7.3.3, , , , , ,"1,1", , 
K0496,Knowledge of operational asset constraints.,,2.1.2, , ,"1, 2", , , , , 
K0497,Knowledge of operational effectiveness assessment.,,"7,5", , ,2, , , , , 
K0498,Knowledge of operational planning processes.,,"7,5", , ,"1, 2", , , ,2.3.3, 
K0499,Knowledge of operations security.,,"7,5","1, 2, 3, 4, 5, 6", ,"1, 2","1, 3, 5", , ,6, 
K0500,"Knowledge of organization and/or partner collection systems, capabilities, and processes (e.g., collection and protocol processors).",,"7,8", , , , , , ,"1.2, 2.3.3, 7", 
K0501,"Knowledge of organization cyber operations programs, strategies, and resources.",,1.2.1, , ,1, , , , , 
K0502,Knowledge of organization decision support tools and/or methods.,,1.2.2, ,5.3.4,1, , ,6.9.4, , 
K0503,"Knowledge of organization formats of resource and asset readiness reporting, its operational relevance and intelligence collection impact.",,"1,9", , ,"1.6.3, 1.7, 3.2.6, 4.2.7, 6.3.4", , , ,"6.1.5, 6.6.5", 
K0504,"Knowledge of organization issues, objectives, and operations in cyber as well as regulations and policy directives governing cyber operations.",,"1.2.2, 1.4", , ,"1.4, 6.1.5, 6.2", , , ,"2.1, 2.2, 2.3",1.5.1
K0505,Knowledge of organization objectives and associated demand on collection management.,,"1,9", , , , , , , , 
K0506,"Knowledge of organization objectives, leadership priorities, and decision-making risks.",,"1,9", , ," 1, 1.7.2, 2.3.4, 3", , , ,6,6
K0507,Knowledge of organization or partner exploitation of digital networks.,,6.2.2,"1, 2, 3, 4, 5, 6", ,"2.3, 3.2", , , ,"1,2",3.1.2
K0508,Knowledge of organization policies and planning concepts for partnering with internal and/or external organizations.,,"1,6","1, 2, 3, 4, 5, 6", ,1, , , ,"1.2, 2.3, 7", 
K0509,"Knowledge of organizational and partner authorities, responsibilities, and contributions to achieving objectives.",,"3,3","1, 2, 3, 4, 5, 6", ,1, , , ,"1.2, 7", 
K0510,"Knowledge of organizational and partner policies, tools, capabilities, and procedures.",,"3,3","1, 2, 3, 4, 5, 6", ,1, , , ,"1.2, 2.3, 7", 
K0511,Knowledge of organizational hierarchy and cyber decision-making processes.,,"1,9","1, 2, 3, 4, 5, 6",5.3.4,1, , , ,2.3.3, 
K0512,Knowledge of organizational planning concepts.,,"1,9","1, 2, 3, 4, 5, 6",3,1, , , , , 
K0513,"Knowledge of organizational priorities, legal authorities and requirements submission processes.",,"1,4", , ,1, ,"1.3, 1.3.1, 1.3.2, 1.3.3", ,"1.3.4, 2.3.3, 4.1, 4.2, 4.3", 
